success,rt,trial_type,trial_index,plugin_version,time_elapsed,stimulus,response,key,timeout,failed_images,failed_audio,failed_video,correct_choice,correct_image,response_letter,correct,response_time
TRUE,2604,fullscreen,0,null,3615,,,,,,,,,,,,
,2763,html-keyboard-response,1,2.0.0,6380,"
    <div class=""jspsych-html-keyboard-response-stimulus"">
      <p style=""font-size: 48px;"">Welcome to the experiment! 😊</p>
      <p style=""font-size: 36px;"">Press any key to begin.</p>
    </div>
  ", ,,,,,,,,,,
,17573,html-keyboard-response,2,2.0.0,23953,"
    <div><p style=""font-size: 36px; margin-bottom: 15px;"">Consent Form</p></div>
    <div style=""width: 80%; height: auto; max-height: 600px; margin: auto; overflow-y: scroll; padding: 20px; border: 1px solid #ccc; font-size: 16px; line-height: 1.6; text-align: left;"">
     <p>
        You are being invited to participate in a research study titled 
        “Reproducibility of Psychological Science and Instruction.” This study is being done by 
        Dr. Bria Long from UC San Diego and associated graduate students in the Experimental Methods course. 
        You were selected to participate in this study because you are an adult in the U.S. and have been a 
        represented population in previous psychology studies.
      </p>
      <br>
      <p>
        The purpose of this study is to better understand how well previously published studies in the 
        psychological field replicate online and with different populations. Your participation in this 
        research should last approximately 5-30 minutes. If you agree to take part in this study, you may 
        be asked to view a set of stimuli, including pictures, sounds, written text, or videos and then give 
        some responses via key presses, verbally, or with paper-and-pencil. We may also observe your choices 
        or preferences among an array of stimuli. These stimuli will be taken directly from or closely adapted 
        from studies that already exist in the published psychological literature. Stimuli will include, e.g., 
        pictures of objects and human faces, audio and video clips, short text passages, etc. None of the stimuli 
        will be disturbing, threatening, or offensive. The online and in-person experiments described in this protocol 
        will take no more than 30 minutes. An example game you might play would be to click on an image on the screen 
        that matches a word you hear being said out loud. Your total expected time commitment for this study is between 
        5-30 minutes, and is specified in the study description.
      </p>
      <br>
      <p>
        Your participation in this study is completely voluntary and you can withdraw at any time. Choosing not to 
        participate or withdrawing will result in no penalty or loss of benefits to which you are entitled. You are 
        free to skip any question that you choose.
      </p>
      <br>
      <p>
        We will not be asking for any personally identifying information, and we will handle responses as 
        confidentially as possible. Your SONA or Prolific IDs will never be tied to your responses on this survey. 
        However, we cannot guarantee the confidentiality of information transmitted over the Internet. To minimize this risk, 
        data containing anything that might be personally identifiable (e.g. Prolific IDs or IP addresses) will be encrypted 
        on transfer and storage and will only be accessible to qualified lab personnel. We will be keeping data collected as 
        part of this experiment indefinitely. This anonymized data (containing neither Prolific IDs nor IP addresses) may be 
        shared with the scientific community or with other participants to be used as stimuli in future studies.
      </p>
      <br>
      <p>
        If you have questions about this project or if you have a research-related problem, you may contact the researcher(s), 
        Dr. Bria Long, brlong@ucsd.edu. If you have any questions concerning your rights as a research subject, you may 
        contact the UC San Diego Office of IRB Administration at irb@ucsd.edu or 858-246-4777.
      </p>
      <br>
      <p>
        By participating in this research, you are indicating that you are at least 18 years old, have read this consent form, 
        and agree to participate in this research study. Please keep this consent form for your records.
      </p>
      <br>
      <p style=""text-align: center; font-weight: bold; margin-top: 20px;"">
        Press any key to proceed.
      </p>
    </div>
  ", ,,,,,,,,,,
,2888,html-keyboard-response,3,2.0.0,34888,,,AudioVolumeUp,,,,,,,,,
,,html-keyboard-response,4,2.0.0,39174,,3,,,,,,,,,,
,9721,html-keyboard-response,5,2.0.0,58436,,, ,,,,,,,,,
TRUE,,preload,6,2.0.0,58587,,,,FALSE,[],[],[],,,,,
,null,html-keyboard-response,7,2.0.0,59595,"
      <div class=""image-container"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/17.jpg"" alt=""Image 1"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/16.jpg"" alt=""Image 2"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/18.jpg"" alt=""Image 3"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/15.jpg"" alt=""Image 4"">
      </div>
    ",null,,,,,,,,,,
,null,html-keyboard-response,8,2.0.0,71601,"
      <div class=""image-container"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/17.jpg"" alt=""Image 1"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/16.jpg"" alt=""Image 2"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/18.jpg"" alt=""Image 3"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/15.jpg"" alt=""Image 4"">
      </div>
      <div class=""timer"">Time Remaining: <span id=""timer"">6</span> seconds</div>
      <audio id=""audio_a"">
        <source src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/audio/15.mp3"" type=""audio/mp3"">
      </audio>
      <audio id=""audio_b"">
        <source src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/audio/17.mp3"" type=""audio/mp3"">
      </audio>
      <audio id=""audio_c"">
        <source src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/audio/18.mp3"" type=""audio/mp3"">
      </audio>
      <audio id=""audio_d"">
        <source src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/audio/16.mp3"" type=""audio/mp3"">
      </audio>
    ",null,,,,,,,,,,
,null,html-keyboard-response,9,2.0.0,72601,"
      <div class=""image-container"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/13.jpg"" alt=""Image 1"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/9.jpg"" alt=""Image 2"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/11.jpg"" alt=""Image 3"">
        <img src=""https://raw.githubusercontent.com/ucsd-psych201a/yu2007/7bcb1cdc5b4b7353d59e9a094362a2834d72f3fa/stimuli/condition3/image/15.jpg"" alt=""Image 4"">
      </div>
    ",null,,,,,,,,,,
