"correct_choice","correct_image","response_letter","correct","response_time"
"A",1,"A","true",2946
"A",2,"A","true",1564
"A",3,"A","true",3845
"B",4,"B","true",3112
"B",5,"B","true",4711
"A",6,"C","false",5957
"C",7,"C","true",8081
"C",8,"C","true",2307
"C",9,"C","true",3930
"A",10,"A","true",6083
"C",11,"C","true",1925
"A",12,"A","true",6945
"B",13,"B","true",1998
"D",14,"D","true",3214
"A",15,"A","true",8219
"C",16,"C","true",5229
"D",17,"D","true",3312
"C",18,"C","true",2592
"C",1,"C","true",4226
"A",2,"A","true",3081
"D",3,"D","true",2087
"B",4,"B","true",1673
"B",5,"B","true",3188
"C",6,"C","true",5857
"D",7,"D","true",4937
"B",8,"B","true",1925
"C",9,"C","true",2107
"C",10,"C","true",4614
"A",11,"A","true",1782
"A",12,"A","true",3999
"B",13,"B","true",3424
"A",14,"A","true",2234
"D",15,"D","true",2128
"D",16,"D","true",2396
"A",17,"A","true",4459
"A",18,"A","true",3232
"C",1,"C","true",4051
"A",2,"A","true",3124
"D",3,"B","false",3231
"D",4,"D","true",4019
"A",5,"B","false",1971
"D",6,"C","false",1913
"D",7,"D","true",5244
"B",8,"B","true",5922
"A",9,"D","false",8225
"D",10,"C","false",8001
"B",11,"B","true",2106
"C",12,"C","true",1581
"A",13,"A","true",1663
"D",14,"D","true",3433
"D",15,"D","true",3897
"B",16,"A","false",5709
"A",17,"C","false",6116
"B",18,"C","false",2725
"B",1,"A","false",7601
"B",2,"B","true",3865
"C",3,"C","true",4412
"D",4,"D","true",3332
"A",5,"B","false",3429
"A",6,"A","true",3283
"A",7,"A","true",3467
"B",8,"B","true",3212
"D",9,"D","true",3117
"B",10,"C","false",3847
"A",11,"A","true",4997
"B",12,"B","true",2964
"B",13,"B","true",3798
"C",14,"C","true",3148
"A",15,"A","true",2798
"C",16,"C","true",5899
"C",17,"A","false",4231
"B",18,"B","true",3680
"A",1,"A","true",7849
"B",2,"B","true",4658
"D",3,"D","true",3110
"D",4,"D","true",2360
"B",5,"B","true",3093
"A",6,"A","true",1511
"C",7,"B","false",7010
"B",8,"B","true",1658
"C",9,"C","true",7409
"D",10,"D","true",2712
"D",11,"D","true",5729
"C",12,"C","true",5278
"B",13,"B","true",9711
"C",14,"C","true",4394
"B",15,"B","true",1942
"C",16,"C","true",4143
"B",17,"B","true",7658
"C",18,"C","true",2276
"A",1,"A","true",3922
"D",2,"D","true",2742
"A",3,"A","true",4421
"C",4,"C","true",2692
"C",5,"C","true",3567
"B",6,"B","true",1518
"C",7,"C","true",1548
"D",8,"D","true",2528
"C",9,"A","false",3968
"C",10,"C","true",1873
"A",11,"A","true",1730
"D",12,"D","true",3168
"D",13,"D","true",3192
"A",14,"A","true",2423
"A",15,"A","true",2167
"C",16,"C","true",2529
"A",17,"D","false",2486
"A",18,"A","true",2728
"C",1,"C","true",7333
"C",2,"C","true",5003
"A",3,"A","true",2541
"A",4,"A","true",3217
"A",5,"A","true",2239
"B",6,"B","true",2925
"C",7,"C","true",2357
"A",8,"A","true",3530
"D",9,"D","true",2694
"A",10,"B","false",5013
"C",11,"C","true",3389
"B",12,"B","true",1711
"A",13,"A","true",5108
"D",14,"D","true",2604
"D",15,"D","true",2162
"A",16,"B","false",5544
"C",17,"C","true",5103
"C",18,"C","true",6443
"B",1,"B","true",2443
"D",2,"D","true",1929
"A",3,"A","true",1930
"B",4,"B","true",2797
"A",5,"A","true",2414
"A",6,"A","true",6582
"C",7,"C","true",1812
"D",8,"D","true",2381
"B",9,"B","true",1781
"A",10,"A","true",3162
"C",11,"C","true",2449
"C",12,"C","true",3181
"B",13,"B","true",1664
"D",14,"D","true",2096
"A",15,"A","true",1815
"B",16,"B","true",4114
"A",17,"A","true",1680
"C",18,"C","true",1813
"C",1,"C","true",3514
"D",2,"D","true",4947
"A",3,"A","true",2084
"D",4,"D","true",1682
"A",5,"A","true",1855
"C",6,"C","true",1671
"B",7,"B","true",2975
"A",8,"A","true",2343
"A",9,"A","true",2694
"A",10,"D","false",3086
"C",11,"C","true",1539
"B",12,"C","false",1666
"A",13,"A","true",3667
"B",14,"A","false",1767
"A",15,"A","true",1871
"C",16,"B","false",3110
"C",17,"C","true",3022
"C",18,"D","false",4071
"C",1,"C","true",7832
"B",2,"B","true",5027
"B",3,"B","true",4280
"D",4,"D","true",3411
"D",5,"D","true",4417
"A",6,"D","false",4879
"A",7,"A","true",3394
"A",8,"D","false",4946
"D",9,"D","true",2011
"A",10,"A","true",2394
"A",11,"A","true",7913
"B",12,"A","false",4011
"C",13,"A","false",3409
"A",14,"D","false",5166
"B",15,"B","true",2958
"D",16,"C","false",4815
"A",17,"B","false",5075
"B",18,"D","false",2065
